lr-SGD,step,train_loss,epoch,val_loss,val_acc
0.004229375747361028,49,,,,
,49,2.304379940032959,0,,
0.004934024761946765,99,,,,
,99,2.302927255630493,0,,
0.006107030640911407,149,,,,
,149,2.301206350326538,0,,
,156,,0,2.301013946533203,0.10409999638795853
0.007736720719392659,199,,,,
,199,2.29996395111084,1,,
0.00980687783560423,249,,,,
,249,2.2735488414764404,1,,
0.012296901708965108,299,,,,
,299,2.1248342990875244,1,,
,313,,1,2.091521978378296,0.1851000040769577
0.015182013934955788,349,,,,
,349,2.017467975616455,2,,
0.018433504556782346,399,,,,
,399,1.9745374917984009,2,,
0.022019017760196963,449,,,,
,449,1.9470821619033813,2,,
,470,,2,1.7664281129837036,0.33739998936653137
0.0259028738485048,499,,,,
,499,1.8114323616027832,3,,
0.03004642429376146,549,,,,
,549,1.7564295530319214,3,,
0.0344084363310211,599,,,,
,599,1.7200658321380615,3,,
,627,,3,1.6558005809783936,0.3799999952316284
0.038945503268510734,649,,,,
,649,1.6253163814544678,4,,
0.04361247643070475,699,,,,
,699,1.6223549842834473,4,,
0.04836291443600355,749,,,,
,749,1.5553358793258667,4,,
,784,,4,1.5022790431976318,0.44859999418258667
0.05314954533822241,799,,,,
,799,1.7073479890823364,5,,
0.05792473703308715,849,,,,
,849,1.6182795763015747,5,,
0.06264097124868898,899,,,,
,899,1.6748194694519043,5,,
,941,,5,1.4769779443740845,0.44780001044273376
0.0672513164031851,949,,,,
,949,1.5050472021102905,6,,
0.07170989462430485,999,,,,
,999,1.571982741355896,6,,
0.07597233828331713,1049,,,,
,1049,1.4965709447860718,6,,
,1098,,6,1.389419436454773,0.4991999864578247
0.07999623150045677,1099,,,,
,1099,1.3790298700332642,7,,
0.08374153222835848,1149,,,,
,1149,1.5857093334197998,7,,
0.08717097071331582,1199,,,,
,1199,1.3702163696289062,7,,
0.09025042036924891,1249,,,,
,1249,1.468590497970581,7,,
,1255,,7,1.4573273658752441,0.47870001196861267
0.09294923737378774,1299,,,,
,1299,1.524383783340454,8,,
0.09524056560712638,1349,,,,
,1349,1.4704608917236328,8,,
0.09710160389917954,1399,,,,
,1399,1.4446897506713867,8,,
,1412,,8,1.375351071357727,0.498199999332428
0.09851383292564675,1449,,,,
,1449,1.5523483753204346,9,,
0.09946319949512428,1499,,,,
,1499,1.235322117805481,9,,
0.09994025639341171,1549,,,,
,1549,1.1822704076766968,9,,
,1569,,9,1.3259856700897217,0.5187000036239624
0.09998858208468725,1599,,,,
,1599,1.2397968769073486,10,,
0.09989727004843828,1649,,,,
,1649,1.282787799835205,10,,
0.09971481277245615,1699,,,,
,1699,1.4038017988204956,10,,
,1726,,10,1.273979902267456,0.5501999855041504
0.09944154354509119,1749,,,,
,1749,1.2652432918548584,11,,
0.09907796153772187,1799,,,,
,1799,1.4505356550216675,11,,
0.098624730892936,1849,,,,
,1849,1.2536158561706543,11,,
,1883,,11,1.2324436902999878,0.5719000101089478
0.09808267951136446,1899,,,,
,1899,1.4137171506881714,12,,
0.09745279753938403,1949,,,,
,1949,1.247708797454834,12,,
0.09673623556045154,1999,,,,
,1999,1.3459861278533936,12,,
,2040,,12,1.2479478120803833,0.5604000091552734
0.095934302493373,2049,,,,
,2049,1.3054734468460083,13,,
0.09504846320134738,2099,,,,
,2099,1.2567790746688843,13,,
0.0940803358161519,2149,,,,
,2149,1.3193151950836182,13,,
,2197,,13,1.2219268083572388,0.557699978351593
0.09303168878235718,2199,,,,
,2199,1.341322660446167,14,,
0.09190443762697105,2249,,,,
,2249,1.276991844177246,14,,
0.09070064146041219,2299,,,,
,2299,1.128228783607483,14,,
0.08942249921520477,2349,,,,
,2349,1.2095086574554443,14,,
,2354,,14,1.177767038345337,0.5856999754905701
0.08807234562926505,2399,,,,
,2399,1.3150264024734497,15,,
0.08665264698111695,2449,,,,
,2449,1.1539981365203857,15,,
0.08516599658482699,2499,,,,
,2499,1.1870591640472412,15,,
,2511,,15,1.134737253189087,0.5910999774932861
0.0836151100528878,2549,,,,
,2549,1.182692289352417,16,,
0.08200282033570337,2599,,,,
,2599,1.2934322357177734,16,,
0.08033207254673727,2649,,,,
,2649,1.2328171730041504,16,,
,2668,,16,1.1460415124893188,0.5978999733924866
0.07860591858277646,2699,,,,
,2699,1.0473122596740723,17,,
0.07682751154913771,2749,,,,
,2749,1.1142297983169556,17,,
0.0750001,2799,,,,
,2799,1.1367369890213013,17,,
,2825,,17,1.1204485893249512,0.5961999893188477
0.07312702200438373,2849,,,,
,2849,1.0568382740020752,18,,
0.07121169904861628,2899,,,,
,2899,1.2378873825073242,18,,
0.06925762978642228,2949,,,,
,2949,1.1369675397872925,18,,
