val/loss,val/acc,val/acc_best,epoch,step,train/loss,train/acc
1.123965859413147,0.8555999994277954,0.8555999994277954,0,54,,
,,,0,54,1.7445510625839233,0.5028181672096252
0.5460395812988281,0.9399999976158142,0.9399999976158142,1,109,,
,,,1,109,0.9789186120033264,0.8461272716522217
0.292201429605484,0.9639999866485596,0.9639999866485596,2,164,,
,,,2,164,0.5630184412002563,0.9207454323768616
0.18290677666664124,0.972000002861023,0.972000002861023,3,219,,
,,,3,219,0.3614795207977295,0.9449272751808167
0.12652797996997833,0.9787999987602234,0.9787999987602234,4,274,,
,,,4,274,0.2584933340549469,0.9572181701660156
1.345383882522583,0.7573999762535095,0.7573999762535095,0,54,,
,,,0,54,1.8451119661331177,0.48523637652397156
0.71605384349823,0.9101999998092651,0.9101999998092651,1,109,,
,,,1,109,1.1240829229354858,0.8039636611938477
0.38509371876716614,0.9437999725341797,0.9437999725341797,2,164,,
,,,2,164,0.6590510010719299,0.8961272835731506
0.23761248588562012,0.9592000246047974,0.9592000246047974,3,219,,
,,,3,219,0.41605037450790405,0.9287818074226379
0.1616837978363037,0.9700000286102295,0.9700000286102295,4,274,,
,,,4,274,0.29369935393333435,0.9441636204719543
1.21381413936615,0.8185999989509583,0.8185999989509583,0,54,,
,,,0,54,1.7875498533248901,0.5179272890090942
0.5932788848876953,0.9376000165939331,0.9376000165939331,1,109,,
,,,1,109,1.0215317010879517,0.833509087562561
0.30732542276382446,0.9606000185012817,0.9606000185012817,2,164,,
,,,2,164,0.5760761499404907,0.9144363403320312
0.18296387791633606,0.9714000225067139,0.9714000225067139,3,219,,
,,,3,219,0.3525123596191406,0.9429454803466797
0.12906961143016815,0.975600004196167,0.975600004196167,4,274,,
,,,4,274,0.2490386664867401,0.9539454579353333
